edge_id,u,v,length_km,usage,service,gauge,electrified,voltage,railway,operator,network
OSM-E0110,129,130,0.06,,,,,,rail,,
OSM-E0111,131,132,0.061,,,,,,rail,,
OSM-E0112,133,134,2.448,branch,,1676,contact_line,25000,rail,,
OSM-E0113,5,93,4.736,main,,1676,contact_line,25000,rail,,
OSM-E0114,135,97,0.14,main,,1676,contact_line,25000,rail,,
OSM-E0115,15,14,4.881,main,,1676,contact_line,25000,rail,,
OSM-E0116,14,136,4.888,main,,1676,contact_line,25000,rail,,
OSM-E0117,137,10,0.153,main,,1676,contact_line,25000,rail,,
OSM-E0118,10,9,0.036,main,,1676,contact_line,25000,rail,,
OSM-E0119,138,91,0.071,main,,1676,contact_line,25000,rail,,
OSM-E0120,9,138,1.01,main,,1676,contact_line,25000,rail,,
OSM-E0122,139,66,2.019,main,,1676,contact_line,25000,rail,,
OSM-E0123,140,139,0.018,main,,1676,contact_line,25000,rail,,
OSM-E0124,141,142,0.386,main,,1676,contact_line,25000,rail,,
OSM-E0125,140,143,1.792,main,,1676,contact_line,25000,rail,,
OSM-E0126,139,140,0.018,main,,1676,contact_line,25000,rail,,
OSM-E0127,66,139,2.024,main,,1676,contact_line,25000,rail,,
OSM-E0128,43,144,0.458,main,,1676,contact_line,25000,rail,,
OSM-E0129,144,43,0.457,main,,1676,contact_line,25000,rail,,
OSM-E0130,55,145,0.142,main,,1676,contact_line,25000,rail,,
OSM-E0131,24,146,0.043,main,,1676,contact_line,25000,rail,,
OSM-E0132,146,48,1.303,main,,1676,contact_line,25000,rail,,
OSM-E0133,48,98,0.067,main,,1676,contact_line,25000,rail,,
OSM-E0134,98,47,0.086,main,,1676,contact_line,25000,rail,,
OSM-E0135,25,52,0.63,main,,1676,contact_line,25000,rail,,
OSM-E0136,106,56,0.964,main,,1676,contact_line,25000,rail,,
OSM-E0137,106,80,2.083,main,,1676,contact_line,25000,rail,,
OSM-E0138,104,105,0.93,main,,1676,contact_line,25000,rail,,
OSM-E0139,57,104,1.675,main,,1676,contact_line,25000,rail,,
OSM-E0140,147,148,0.084,main,,1676,contact_line,25000,rail,,
OSM-E0141,84,147,1.087,main,,1676,contact_line,25000,rail,,
OSM-E0142,149,150,0.761,main,,1676,contact_line,25000,rail,,
OSM-E0143,49,25,0.648,main,,1676,contact_line,25000,rail,,
OSM-E0144,47,54,0.817,main,,1676,contact_line,25000,rail,,
OSM-E0145,151,85,0.036,main,,1676,contact_line,25000,rail,,
OSM-E0146,152,96,0.026,main,,1676,contact_line,25000,rail,,
OSM-E0147,96,153,0.046,main,,1676,contact_line,25000,rail,,
OSM-E0148,151,154,0.034,main,,1676,contact_line,25000,rail,,
OSM-E0149,155,7,0.11,main,,1676,contact_line,25000,rail,,
OSM-E0150,1,2,0.016,main,,1676,contact_line,25000,rail,,
OSM-E0152,156,137,0.093,main,,1676,contact_line,25000,rail,,
OSM-E0153,154,157,0.046,main,,1676,contact_line,25000,rail,,
OSM-E0154,154,158,0.155,main,,1676,contact_line,25000,rail,,
OSM-E0155,36,95,0.292,main,,1676,contact_line,25000,rail,,
OSM-E0156,159,113,0.049,main,,1676,contact_line,25000,rail,,
OSM-E0157,113,160,0.21,main,,1676,contact_line,25000,rail,,
OSM-E0158,109,155,0.37,main,,1676,contact_line,25000,rail,,
OSM-E0159,161,156,0.042,main,,1676,contact_line,25000,rail,,
OSM-E0160,53,24,0.027,main,,1676,contact_line,25000,rail,,
OSM-E0162,52,46,0.112,main,,1676,contact_line,,rail,,
OSM-E0163,46,49,0.092,main,,1676,contact_line,25000,rail,,
OSM-E0164,146,145,0.051,main,,1676,contact_line,25000,rail,,
OSM-E0165,145,53,0.068,main,,1676,contact_line,25000,rail,,
OSM-E0166,162,12,0.016,main,,1676,contact_line,25000,rail,,
OSM-E0168,157,163,0.083,main,,1676,contact_line,25000,rail,,
OSM-E0169,164,154,0.225,main,,1676,contact_line,25000,rail,,
OSM-E0170,19,41,0.024,main,,1676,contact_line,25000,rail,,
OSM-E0171,34,165,0.057,main,,1676,contact_line,25000,rail,,
OSM-E0172,165,166,0.014,main,,1676,contact_line,25000,rail,,
OSM-E0173,166,167,0.06,main,,1676,contact_line,25000,rail,,
OSM-E0174,167,31,0.015,main,,1676,contact_line,25000,rail,,
OSM-E0175,67,69,0.03,main,,1676,contact_line,25000,rail,,
OSM-E0176,168,169,0.03,main,,1676,contact_line,25000,rail,,
OSM-E0177,169,170,3.216,main,,1676,contact_line,25000,rail,,
OSM-E0178,170,67,3.215,main,,1676,contact_line,25000,rail,,
OSM-E0179,59,32,0.033,main,,1676,contact_line,25000,rail,,
OSM-E0180,171,59,0.649,main,,1676,contact_line,25000,rail,,
OSM-E0181,31,167,0.013,main,,1676,contact_line,25000,rail,,
OSM-E0182,172,29,0.153,main,,1676,contact_line,25000,rail,,
OSM-E0183,34,33,0.021,main,,1676,contact_line,25000,rail,,
OSM-E0184,33,28,0.705,main,,1676,contact_line,25000,rail,,
OSM-E0185,28,27,0.021,main,,1676,contact_line,25000,rail,,
OSM-E0186,32,172,0.268,main,,1676,contact_line,25000,rail,,
OSM-E0187,27,173,2.348,main,,1676,contact_line,25000,rail,,
OSM-E0188,174,74,0.469,main,,1676,,,rail,,
OSM-E0189,17,174,0.018,main,,1676,,,rail,,
OSM-E0190,41,175,0.102,main,,1676,contact_line,25000,rail,,
OSM-E0191,176,177,0.05,main,,1676,contact_line,25000,rail,,
OSM-E0192,176,170,0.078,main,,1676,contact_line,25000,rail,,
OSM-E0193,170,176,0.078,main,,1676,contact_line,25000,rail,,
OSM-E0194,178,177,0.332,main,,1676,contact_line,25000,rail,,
OSM-E0195,179,180,0.416,main,,1676,contact_line,25000,rail,,
OSM-E0196,181,179,0.019,main,,1676,contact_line,25000,rail,,
OSM-E0197,179,181,0.018,main,,1676,contact_line,25000,rail,,
OSM-E0198,180,179,0.415,main,,1676,contact_line,25000,rail,,
OSM-E0199,180,182,1.051,main,,1676,contact_line,25000,rail,,
OSM-E0202,182,180,1.054,main,,1676,contact_line,25000,rail,,
OSM-E0204,183,182,0.842,main,,1676,contact_line,25000,rail,,
OSM-E0205,182,184,0.851,main,,1676,contact_line,25000,rail,,
OSM-E0207,185,183,0.013,main,,1676,contact_line,25000,rail,,
OSM-E0208,64,186,0.38,main,,1676,contact_line,25000,rail,,
OSM-E0209,187,188,0.571,main,,1676,contact_line,25000,rail,,
OSM-E0210,184,187,0.015,main,,1676,contact_line,25000,rail,,
OSM-E0211,189,190,0.025,main,,1676,contact_line,25000,rail,,
OSM-E0212,181,189,1.726,main,,1676,contact_line,25000,rail,,
OSM-E0213,189,181,1.728,main,,1676,contact_line,25000,rail,,
OSM-E0214,190,189,0.027,main,,1676,contact_line,25000,rail,,
OSM-E0215,100,191,1.181,main,,1676,contact_line,25000,rail,,
OSM-E0217,192,50,0.013,main,,1676,contact_line,25000,rail,,
OSM-E0218,191,192,1.183,main,,1676,contact_line,25000,rail,,
OSM-E0219,193,48,0.21,main,,1676,contact_line,25000,rail,,
OSM-E0220,191,193,0.015,main,,1676,contact_line,25000,rail,,
OSM-E0221,193,191,0.014,main,,1676,contact_line,25000,rail,,
OSM-E0222,48,193,0.213,main,,1676,contact_line,25000,rail,,
OSM-E0223,194,13,4.076,main,,1676,contact_line,25000,rail,,
OSM-E0224,195,194,0.034,main,,1676,contact_line,25000,rail,,
OSM-E0225,194,195,0.033,main,,1676,contact_line,25000,rail,,
OSM-E0226,13,194,4.074,main,,1676,contact_line,25000,rail,,
OSM-E0227,196,75,0.015,main,,1676,contact_line,25000,rail,,
OSM-E0228,79,196,1.438,main,,1676,contact_line,25000,rail,,
OSM-E0229,197,195,4.097,main,,1676,contact_line,25000,rail,,
OSM-E0230,14,197,0.014,main,,1676,contact_line,25000,rail,,
OSM-E0231,197,14,0.013,main,,1676,contact_line,25000,rail,,
OSM-E0232,195,197,4.102,main,,1676,contact_line,25000,rail,,
OSM-E0233,197,76,0.734,main,,1676,contact_line,25000,rail,,
OSM-E0234,14,197,0.013,main,,1676,contact_line,25000,rail,,
OSM-E0235,197,14,0.013,main,,1676,contact_line,25000,rail,,
OSM-E0236,75,197,4.478,main,,1676,contact_line,25000,rail,,
OSM-E0237,198,15,0.019,main,,1676,contact_line,25000,rail,,
OSM-E0238,69,198,2.422,main,,1676,contact_line,25000,rail,,
OSM-E0239,198,69,2.417,main,,1676,contact_line,25000,rail,,
OSM-E0240,15,198,0.018,main,,1676,contact_line,25000,rail,,
OSM-E0241,198,15,0.018,main,,1676,contact_line,25000,rail,,
OSM-E0242,69,198,2.413,main,,1676,contact_line,25000,rail,,
OSM-E0243,199,168,2.41,main,,1676,contact_line,25000,rail,,
OSM-E0244,136,199,0.017,main,,1676,contact_line,25000,rail,,
OSM-E0246,201,200,0.152,main,,1676,contact_line,25000,rail,,
OSM-E0247,200,201,0.152,main,,1676,contact_line,25000,rail,,
OSM-E0249,201,44,0.596,main,,1676,contact_line,25000,rail,,
OSM-E0252,44,201,0.596,main,,1676,contact_line,25000,rail,,
OSM-E0254,202,200,0.722,main,,1676,contact_line,25000,rail,,
OSM-E0255,200,135,1.852,main,,1676,contact_line,25000,rail,,
OSM-E0257,203,204,0.225,,,1676,contact_line,25000,rail,,
OSM-E0258,205,206,0.061,main,,1676,contact_line,25000,rail,,
OSM-E0259,207,208,0.06,main,,1676,contact_line,25000,rail,,
OSM-E0260,209,210,0.072,,,,,,rail,,
OSM-E0261,211,212,6.058,main,,1676,contact_line,25000,rail,,
OSM-E0262,88,162,0.597,main,,1676,contact_line,25000,rail,,
OSM-E0263,86,152,0.116,main,,1676,contact_line,25000,rail,,
OSM-E0264,154,90,0.042,main,,1676,contact_line,25000,rail,,
OSM-E0265,96,7,0.055,main,,1676,contact_line,25000,rail,,
OSM-E0266,160,6,0.131,main,,1676,contact_line,25000,rail,,
OSM-E0267,6,35,0.067,main,,1676,contact_line,25000,rail,,
OSM-E0268,213,204,0.203,branch,,1676,contact_line,25000,rail,,
OSM-E0269,134,112,0.1,branch,,1676,contact_line,25000,rail,,
OSM-E0270,112,116,0.053,main,,1676,contact_line,25000,rail,,
OSM-E0271,116,84,2.166,main,,1676,contact_line,25000,rail,,
OSM-E0272,84,110,2.071,main,,1676,contact_line,25000,rail,,
OSM-E0273,150,83,0.097,main,,1676,contact_line,25000,rail,,
OSM-E0274,214,149,0.053,main,,1676,contact_line,25000,rail,Indian Railway,
OSM-E0275,204,203,0.225,branch,,1676,contact_line,25000,rail,,
OSM-E0276,204,213,0.202,,,1676,contact_line,25000,rail,,
OSM-E0277,7,159,0.04,main,,1676,contact_line,25000,rail,,
OSM-E0278,7,161,0.299,main,,1676,contact_line,25000,rail,,
OSM-E0279,90,87,0.053,main,,1676,contact_line,25000,rail,,
OSM-E0280,215,89,0.03,main,,1676,contact_line,25000,rail,,
OSM-E0281,89,151,0.094,main,,1676,contact_line,25000,rail,,
OSM-E0282,148,216,0.208,main,,1676,contact_line,25000,rail,,
OSM-E0283,217,214,0.038,main,,1676,contact_line,25000,rail,Indian Railway,
OSM-E0284,142,140,1.694,main,,1676,contact_line,25000,rail,,
OSM-E0285,143,218,0.082,main,,1676,contact_line,25000,rail,,
OSM-E0286,218,219,1.115,main,,1676,contact_line,25000,rail,,
OSM-E0287,92,220,0.965,main,,1676,contact_line,25000,rail,,
OSM-E0288,220,44,2.185,main,,1676,contact_line,25000,rail,,
OSM-E0289,221,202,1.022,main,,1676,contact_line,25000,rail,,
OSM-E0290,97,221,0.249,main,,1676,contact_line,25000,rail,,
OSM-E0291,115,114,0.014,main,,1676,contact_line,25000,rail,,
OSM-E0293,211,115,0.823,main,,1676,contact_line,25000,rail,,
OSM-E0295,115,211,0.824,main,,1676,contact_line,25000,rail,,
OSM-E0296,212,211,6.065,main,,1676,contact_line,25000,rail,,
OSM-E0297,107,222,0.058,main,,1676,contact_line,25000,rail,,
OSM-E0298,108,107,0.015,main,,1676,contact_line,25000,rail,,
OSM-E0299,114,108,0.555,main,,1676,contact_line,25000,rail,,
OSM-E0300,222,223,0.938,main,,1676,contact_line,25000,rail,,
OSM-E0301,38,37,0.043,main,,1676,contact_line,25000,rail,,
OSM-E0302,223,38,0.245,main,,1676,contact_line,25000,rail,,
OSM-E0303,39,78,0.054,main,,1676,contact_line,25000,rail,,
